term,estimate,std.error,statistic,p.value
(Intercept),44.83244580063313,0.4934239251726616,90.85989453175607,0
poverty_pct,4.472300011135319,1.1578084462001814,3.86272878368869,1.1362869529702035e-4
median_income,-1.4370819230778188e-4,4.96010253215173e-6,-28.972826947881696,4.9724903150665936e-170
no_hs_diploma,11.980822862710744,1.2581372182612809,9.522667868666971,2.6185583085660854e-21
