term,estimate,std.error,statistic,p.value,direction
Poverty Rate,0.0757169266647341,0.019601926747864352,3.862728783688753,1.1362869529699099e-4,Positive
Median Income,-0.4999229662777702,0.017254890838821636,-28.972826947881796,4.9724903150544065e-170,Negative
No HS Diploma,0.13742489602228455,0.014431344022242098,9.52266786866701,2.6185583085651153e-21,Positive
